2017-02-07T16:02:27.7500000Z|Program_Name_Editing|NIST_MTC_CRADA_COVER_REV-A.NC
2017-02-07T16:02:34.4531250Z|Block_Number|0
2017-02-07T16:02:39.2031250Z|Block_Number|12
2017-02-07T16:02:39.2343750Z|Feed_Rate|201.416666666667
2017-02-07T16:02:39.2500000Z|Program_Status|ACTIVE
2017-02-07T16:02:39.3437500Z|Program_Runtime_Seconds|1081
2017-02-07T16:02:39.3437500Z|Program_Runtime_Seconds|1
2017-02-07T16:02:39.7031250Z|Program_Runtime_Seconds|2
2017-02-07T16:02:40.6718750Z|Program_Runtime_Seconds|3
2017-02-07T16:02:41.7656250Z|Feed_Rate|200.416666666667
2017-02-07T16:02:41.7812500Z|Program_Runtime_Seconds|4
2017-02-07T16:02:41.9375000Z|Feed_Rate|174.916666666667
2017-02-07T16:02:42.1093750Z|Feed_Rate|2.55
2017-02-07T16:02:42.2656250Z|Feed_Rate|99.2666666666667
2017-02-07T16:02:42.4375000Z|Feed_Rate|199.033333333333
2017-02-07T16:02:42.6093750Z|Feed_Rate|88.5166666666667
2017-02-07T16:02:42.7656250Z|Feed_Rate|0
2017-02-07T16:02:42.7812500Z|Program_Runtime_Seconds|5
2017-02-07T16:02:43.6875000Z|Program_Runtime_Seconds|6
2017-02-07T16:02:44.7187500Z|Program_Runtime_Seconds|7
2017-02-07T16:02:44.8593750Z|Current_Tool|0.000000
2017-02-07T16:02:45.3906250Z|Current_Tool|2.000000
2017-02-07T16:02:45.6562500Z|Program_Runtime_Seconds|8
2017-02-07T16:02:46.5468750Z|Block_Number|13
2017-02-07T16:02:46.7187500Z|Feed_Rate|178.516666666667
2017-02-07T16:02:46.7343750Z|Program_Runtime_Seconds|9
2017-02-07T16:02:46.7500000Z|Spindle_Speed|497.760080
2017-02-07T16:02:46.8906250Z|Spindle_Speed|1119.960179
2017-02-07T16:02:47.0468750Z|Spindle_Speed|1991.040319
2017-02-07T16:02:47.2031250Z|Spindle_Speed|2613.240418
2017-02-07T16:02:47.3593750Z|Spindle_Speed|3857.640617
2017-02-07T16:02:47.5468750Z|Spindle_Speed|5226.480836
2017-02-07T16:02:47.6875000Z|Program_Runtime_Seconds|10
2017-02-07T16:02:47.7187500Z|Spindle_Speed|5848.680936
2017-02-07T16:02:47.8593750Z|Spindle_Speed|7093.081135
2017-02-07T16:02:48.0000000Z|Spindle_Speed|7715.281234
2017-02-07T16:02:48.1562500Z|Spindle_Speed|8959.681434
2017-02-07T16:02:48.3281250Z|Feed_Rate|140.566666666667
2017-02-07T16:02:48.3281250Z|Spindle_Speed|10577.401692
2017-02-07T16:02:48.5156250Z|Block_Number|14
2017-02-07T16:02:48.5312500Z|Feed_Rate|0
2017-02-07T16:02:48.5312500Z|Spindle_Speed|11572.921852
2017-02-07T16:02:48.6562500Z|Program_Runtime_Seconds|11
2017-02-07T16:02:48.6718750Z|Spindle_Speed|12000.000000
2017-02-07T16:02:49.6562500Z|Program_Runtime_Seconds|12
2017-02-07T16:02:50.6875000Z|Program_Runtime_Seconds|13
2017-02-07T16:02:51.7187500Z|Program_Runtime_Seconds|14
2017-02-07T16:02:52.7656250Z|Program_Runtime_Seconds|15
2017-02-07T16:02:53.6875000Z|Program_Runtime_Seconds|16
2017-02-07T16:02:53.8281250Z|Feed_Rate|172.716666666667
2017-02-07T16:02:54.7812500Z|Program_Runtime_Seconds|17
2017-02-07T16:02:55.5468750Z|Feed_Rate|123.866666666667
2017-02-07T16:02:55.7187500Z|Block_Number|15
2017-02-07T16:02:55.7343750Z|Feed_Rate|21.1166666666667
2017-02-07T16:02:55.7500000Z|Program_Runtime_Seconds|18
2017-02-07T16:02:55.8750000Z|Block_Number|16
2017-02-07T16:02:55.8906250Z|Feed_Rate|20.2166666666667
2017-02-07T16:02:56.0468750Z|Feed_Rate|9.45
2017-02-07T16:02:56.2500000Z|Feed_Rate|50.8
2017-02-07T16:02:56.6718750Z|Program_Runtime_Seconds|19
2017-02-07T16:02:57.7187500Z|Program_Runtime_Seconds|20
2017-02-07T16:02:58.7812500Z|Program_Runtime_Seconds|21
2017-02-07T16:02:59.6875000Z|Program_Runtime_Seconds|22
2017-02-07T16:02:59.9687500Z|Feed_Rate|48.2166666666667
2017-02-07T16:03:00.1250000Z|Block_Number|17
2017-02-07T16:03:00.1406250Z|Feed_Rate|2.28333333333333
2017-02-07T16:03:00.2968750Z|Block_Number|18
2017-02-07T16:03:00.2968750Z|Feed_Rate|61.9
2017-02-07T16:03:00.4687500Z|Feed_Rate|92.5333333333333
2017-02-07T16:03:00.6562500Z|Feed_Rate|163.333333333333
2017-02-07T16:03:00.8125000Z|Feed_Rate|172.9
2017-02-07T16:03:00.8125000Z|Program_Runtime_Seconds|23
2017-02-07T16:03:01.6093750Z|Block_Number|19
2017-02-07T16:03:01.6093750Z|Feed_Rate|60.9333333333333
2017-02-07T16:03:01.7812500Z|Feed_Rate|31.8833333333333
2017-02-07T16:03:01.7968750Z|Program_Runtime_Seconds|24
2017-02-07T16:03:01.9375000Z|Block_Number|20
2017-02-07T16:03:01.9531250Z|Feed_Rate|48.65
2017-02-07T16:03:02.0937500Z|Feed_Rate|50.8
2017-02-07T16:03:02.6875000Z|Program_Runtime_Seconds|25
2017-02-07T16:03:03.7656250Z|Program_Runtime_Seconds|26
2017-02-07T16:03:04.6562500Z|Program_Runtime_Seconds|27
2017-02-07T16:03:05.7343750Z|Program_Runtime_Seconds|28
2017-02-07T16:03:05.8750000Z|Feed_Rate|14.1333333333333
2017-02-07T16:03:06.0625000Z|Block_Number|21
2017-02-07T16:03:06.0625000Z|Feed_Rate|34.7333333333333
2017-02-07T16:03:06.2343750Z|Block_Number|22
2017-02-07T16:03:06.2500000Z|Feed_Rate|169.983333333333
2017-02-07T16:03:06.4062500Z|Feed_Rate|172.9
2017-02-07T16:03:06.7187500Z|Program_Runtime_Seconds|29
2017-02-07T16:03:07.3437500Z|Block_Number|23
2017-02-07T16:03:07.3593750Z|Feed_Rate|147.9
2017-02-07T16:03:07.5000000Z|Feed_Rate|25.6833333333333
2017-02-07T16:03:07.6875000Z|Block_Number|24
2017-02-07T16:03:07.7031250Z|Feed_Rate|23.9333333333333
2017-02-07T16:03:07.7343750Z|Program_Runtime_Seconds|30
2017-02-07T16:03:07.8437500Z|Feed_Rate|46.65
2017-02-07T16:03:07.9843750Z|Feed_Rate|50.8
