2017-02-06T15:05:05.3437500Z|Program_Name_Running|NIST_MTC_CRADA_BOX_REV-A_OP1.NC
2017-02-06T15:05:06.1250000Z|Program_Runtime_Seconds|1
2017-02-06T15:05:07.0312500Z|Feed_Override|98.000000
2017-02-06T15:05:07.1718750Z|Feed_Override|86.000000
2017-02-06T15:05:07.1875000Z|Program_Runtime_Seconds|2
2017-02-06T15:05:07.3125000Z|Feed_Override|63.000000
2017-02-06T15:05:07.4375000Z|Feed_Override|56.000000
2017-02-06T15:05:07.5625000Z|Feed_Override|38.000000
2017-02-06T15:05:07.6875000Z|Feed_Override|23.000000
2017-02-06T15:05:07.8125000Z|Feed_Override|9.000000
2017-02-06T15:05:07.9375000Z|Feed_Override|0.000000
2017-02-06T15:05:08.1875000Z|Program_Runtime_Seconds|3
2017-02-06T15:05:09.3125000Z|Program_Runtime_Seconds|4
2017-02-06T15:05:10.2031250Z|Program_Runtime_Seconds|5
2017-02-06T15:05:10.8281250Z|Spindle_Speed|248.880040
2017-02-06T15:05:11.2343750Z|Program_Runtime_Seconds|6
2017-02-06T15:05:11.5156250Z|Spindle_Speed|0.000000
2017-02-06T15:05:11.9531250Z|Feed_Rate|455.983333333333
2017-02-06T15:05:12.1250000Z|Feed_Rate|589.2
2017-02-06T15:05:12.1406250Z|Program_Runtime_Seconds|7
2017-02-06T15:05:12.2968750Z|Feed_Rate|607.866666666667
2017-02-06T15:05:12.7656250Z|Feed_Rate|534.416666666667
2017-02-06T15:05:12.9375000Z|Feed_Rate|338.9
2017-02-06T15:05:13.1093750Z|Feed_Rate|7.83333333333333
2017-02-06T15:05:13.2968750Z|Feed_Rate|99.6166666666667
2017-02-06T15:05:13.3125000Z|Program_Runtime_Seconds|8
2017-02-06T15:05:13.4531250Z|Feed_Rate|197.7
2017-02-06T15:05:13.5937500Z|Feed_Rate|106.383333333333
2017-02-06T15:05:13.7656250Z|Feed_Rate|0
2017-02-06T15:05:14.1875000Z|Program_Runtime_Seconds|9
2017-02-06T15:05:15.2031250Z|Program_Runtime_Seconds|10
2017-02-06T15:05:16.2031250Z|Program_Runtime_Seconds|11
2017-02-06T15:05:17.2343750Z|Program_Runtime_Seconds|12
2017-02-06T15:05:17.3437500Z|Current_Tool|1.000000
2017-02-06T15:05:18.1718750Z|Rapid_Override|63.000000
2017-02-06T15:05:18.1875000Z|Program_Runtime_Seconds|13
