2017-02-02T16:51:40.8750000Z|Program_Name_Editing|NIST_MTC_CRADA_PLATE-11.NC
2017-02-02T16:52:10.3593750Z|Program_Runtime_Seconds|24
2017-02-02T16:52:11.3437500Z|Program_Runtime_Seconds|25
2017-02-02T16:52:12.4375000Z|Program_Runtime_Seconds|26
2017-02-02T16:52:13.3281250Z|Program_Runtime_Seconds|27
2017-02-02T16:52:14.3593750Z|Program_Runtime_Seconds|28
2017-02-02T16:52:15.4687500Z|Program_Runtime_Seconds|29
2017-02-02T16:52:16.3437500Z|Program_Runtime_Seconds|30
2017-02-02T16:52:17.4062500Z|Program_Runtime_Seconds|31
2017-02-02T16:52:18.2968750Z|Program_Runtime_Seconds|32
2017-02-02T16:52:19.3593750Z|Program_Runtime_Seconds|33
2017-02-02T16:52:20.4062500Z|Program_Runtime_Seconds|34
2017-02-02T16:52:20.8281250Z|Feed_Rate|8.63333333333333
2017-02-02T16:52:20.9687500Z|Block_Number|17
2017-02-02T16:52:21.0000000Z|Feed_Rate|55.5166666666667
2017-02-02T16:52:21.0937500Z|Feed_Rate|123.516666666667
2017-02-02T16:52:21.2343750Z|Feed_Rate|169.333333333333
2017-02-02T16:52:21.3906250Z|Feed_Rate|165.183333333333
2017-02-02T16:52:21.4062500Z|Program_Runtime_Seconds|35
2017-02-02T16:52:21.5312500Z|Feed_Rate|80.8333333333333
2017-02-02T16:52:21.7031250Z|Feed_Rate|0.633333333333333
2017-02-02T16:52:22.3125000Z|Program_Runtime_Seconds|36
2017-02-02T16:52:23.4062500Z|Program_Runtime_Seconds|37
2017-02-02T16:52:24.3281250Z|Program_Runtime_Seconds|38
2017-02-02T16:52:25.4062500Z|Program_Runtime_Seconds|39
2017-02-02T16:52:26.4375000Z|Program_Runtime_Seconds|40
2017-02-02T16:52:27.3750000Z|Program_Runtime_Seconds|41
2017-02-02T16:52:28.4531250Z|Program_Runtime_Seconds|42
2017-02-02T16:52:29.3593750Z|Program_Runtime_Seconds|43
2017-02-02T16:52:30.2968750Z|Program_Runtime_Seconds|44
2017-02-02T16:52:31.4062500Z|Program_Runtime_Seconds|45
2017-02-02T16:52:32.3125000Z|Program_Runtime_Seconds|46
2017-02-02T16:52:32.4687500Z|Block_Number|18
2017-02-02T16:52:32.4843750Z|Feed_Rate|52.4666666666667
2017-02-02T16:52:32.6250000Z|Feed_Rate|126.783333333333
2017-02-02T16:52:32.7968750Z|Feed_Rate|169.333333333333
2017-02-02T16:52:32.9531250Z|Feed_Rate|169.283333333333
2017-02-02T16:52:33.1093750Z|Feed_Rate|154.116666666667
2017-02-02T16:52:33.2500000Z|Feed_Rate|69.8
2017-02-02T16:52:33.2656250Z|Program_Runtime_Seconds|47
2017-02-02T16:52:33.3906250Z|Feed_Rate|0.633333333333333
2017-02-02T16:52:34.3281250Z|Program_Runtime_Seconds|48
2017-02-02T16:52:35.3593750Z|Program_Runtime_Seconds|49
2017-02-02T16:52:36.4375000Z|Program_Runtime_Seconds|50
2017-02-02T16:52:37.3281250Z|Program_Runtime_Seconds|51
2017-02-02T16:52:38.2187500Z|Program_Runtime_Seconds|52
2017-02-02T16:52:39.3437500Z|Program_Runtime_Seconds|53
2017-02-02T16:52:40.2656250Z|Program_Runtime_Seconds|54
2017-02-02T16:52:41.3593750Z|Program_Runtime_Seconds|55
2017-02-02T16:52:42.4375000Z|Program_Runtime_Seconds|56
2017-02-02T16:52:43.3593750Z|Program_Runtime_Seconds|57
2017-02-02T16:52:43.9843750Z|Feed_Rate|1.41666666666667
2017-02-02T16:52:44.1250000Z|Feed_Rate|0
2017-02-02T16:52:44.2968750Z|Block_Number|21
2017-02-02T16:52:44.3125000Z|Feed_Rate|119.916666666667
