2017-02-08T10:09:51.1250000Z|Program_Name_Editing|NIST_MTC_CRADA_BOX_REV-A_OP2.NC
2017-02-08T10:09:55.5625000Z|Block_Number|0
2017-02-08T10:11:11.0781250Z|Program_Status|ACTIVE
2017-02-08T10:11:11.0937500Z|Program_Runtime_Seconds|60
2017-02-08T10:11:11.1093750Z|Program_Runtime_Seconds|0
2017-02-08T10:11:11.2343750Z|Block_Number|7
2017-02-08T10:11:11.2500000Z|Spindle_Speed|124.440020
2017-02-08T10:11:11.3750000Z|Spindle_Speed|248.880040
2017-02-08T10:11:12.0156250Z|Spindle_Speed|0.000000
2017-02-08T10:11:12.1562500Z|Program_Runtime_Seconds|1
2017-02-08T10:11:12.4843750Z|Feed_Rate|384.2
2017-02-08T10:11:12.6406250Z|Feed_Rate|563.4
2017-02-08T10:11:12.7968750Z|Feed_Rate|583.1
2017-02-08T10:11:13.1406250Z|Program_Runtime_Seconds|2
2017-02-08T10:11:13.2812500Z|Feed_Rate|573.15
2017-02-08T10:11:13.4531250Z|Feed_Rate|353.55
2017-02-08T10:11:13.6250000Z|Feed_Rate|269.466666666667
2017-02-08T10:11:13.7968750Z|Feed_Rate|50.65
2017-02-08T10:11:13.9843750Z|Feed_Rate|107.05
2017-02-08T10:11:14.1250000Z|Feed_Rate|227.066666666667
2017-02-08T10:11:14.1406250Z|Program_Runtime_Seconds|3
2017-02-08T10:11:14.2812500Z|Feed_Rate|35.8333333333333
2017-02-08T10:11:14.4531250Z|Feed_Rate|0
2017-02-08T10:11:15.0937500Z|Program_Runtime_Seconds|4
2017-02-08T10:11:16.1093750Z|Program_Runtime_Seconds|5
2017-02-08T10:11:16.8281250Z|Current_Tool|0.000000
2017-02-08T10:11:17.0937500Z|Program_Runtime_Seconds|6
2017-02-08T10:11:17.3906250Z|Current_Tool|3.000000
2017-02-08T10:11:18.1562500Z|Program_Runtime_Seconds|7
2017-02-08T10:11:18.4531250Z|Block_Number|8
2017-02-08T10:11:18.7656250Z|Feed_Rate|418.666666666667
2017-02-08T10:11:18.7812500Z|Spindle_Speed|497.760080
2017-02-08T10:11:18.9375000Z|Feed_Rate|604.166666666667
2017-02-08T10:11:18.9531250Z|Spindle_Speed|1493.280239
2017-02-08T10:11:19.1093750Z|Feed_Rate|680.683333333333
2017-02-08T10:11:19.1250000Z|Spindle_Speed|2737.680438
2017-02-08T10:11:19.2500000Z|Feed_Rate|434.533333333333
2017-02-08T10:11:19.2812500Z|Program_Runtime_Seconds|8
2017-02-08T10:11:19.2968750Z|Spindle_Speed|3359.880538
2017-02-08T10:11:19.4062500Z|Feed_Rate|47.55
2017-02-08T10:11:19.4218750Z|Spindle_Speed|4728.720757
2017-02-08T10:11:19.5781250Z|Block_Number|9
2017-02-08T10:11:19.5937500Z|Feed_Rate|0
2017-02-08T10:11:19.6093750Z|Spindle_Speed|5973.120956
2017-02-08T10:11:19.7500000Z|Spindle_Speed|6595.321055
2017-02-08T10:11:19.8593750Z|Spindle_Speed|7217.521155
2017-02-08T10:11:19.9843750Z|Spindle_Speed|7839.721254
2017-02-08T10:11:20.1093750Z|Spindle_Speed|9208.561473
2017-02-08T10:11:20.2343750Z|Program_Runtime_Seconds|9
2017-02-08T10:11:20.2656250Z|Spindle_Speed|9830.761573
2017-02-08T10:11:20.3750000Z|Spindle_Speed|10452.961672
2017-02-08T10:11:20.5000000Z|Spindle_Speed|11075.161772
2017-02-08T10:11:20.6250000Z|Spindle_Speed|12000.000000
2017-02-08T10:11:21.1250000Z|Program_Runtime_Seconds|10
2017-02-08T10:11:22.1250000Z|Program_Runtime_Seconds|11
2017-02-08T10:11:23.1250000Z|Program_Runtime_Seconds|12
2017-02-08T10:11:24.1250000Z|Program_Runtime_Seconds|13
2017-02-08T10:11:25.1250000Z|Program_Runtime_Seconds|14
2017-02-08T10:11:25.9062500Z|Feed_Rate|261.9
2017-02-08T10:11:26.0468750Z|Feed_Rate|411.133333333333
2017-02-08T10:11:26.1875000Z|Feed_Rate|490.5
2017-02-08T10:11:26.2187500Z|Program_Runtime_Seconds|15
2017-02-08T10:11:26.3593750Z|Feed_Rate|500
2017-02-08T10:11:26.5156250Z|Block_Number|10
2017-02-08T10:11:26.5312500Z|Feed_Rate|441.116666666667
2017-02-08T10:11:26.6875000Z|Block_Number|11
2017-02-08T10:11:26.7031250Z|Feed_Rate|0.1
2017-02-08T10:11:26.8593750Z|Feed_Rate|12.7333333333333
2017-02-08T10:11:27.0156250Z|Block_Number|13
2017-02-08T10:11:27.0312500Z|Feed_Rate|10
2017-02-08T10:11:27.2031250Z|Block_Number|17
2017-02-08T10:11:27.2187500Z|Feed_Rate|12.7833333333333
2017-02-08T10:11:27.2187500Z|Program_Runtime_Seconds|16
2017-02-08T10:11:27.3906250Z|Block_Number|22
2017-02-08T10:11:27.4062500Z|Feed_Rate|12.7333333333333
2017-02-08T10:11:27.5781250Z|Block_Number|27
2017-02-08T10:11:27.5937500Z|Feed_Rate|12.8
2017-02-08T10:11:27.7656250Z|Block_Number|31
2017-02-08T10:11:27.7812500Z|Feed_Rate|12.3666666666667
