2017-02-02T19:25:21.7187500Z|Program_Runtime_Seconds|49
2017-02-02T19:25:22.6406250Z|Program_Runtime_Seconds|50
2017-02-02T19:25:23.5468750Z|Program_Runtime_Seconds|51
2017-02-02T19:25:24.6093750Z|Program_Runtime_Seconds|52
2017-02-02T19:25:25.5156250Z|Program_Runtime_Seconds|53
2017-02-02T19:25:26.6250000Z|Program_Runtime_Seconds|54
2017-02-02T19:25:27.5156250Z|Program_Runtime_Seconds|55
2017-02-02T19:25:28.6093750Z|Program_Runtime_Seconds|56
2017-02-02T19:25:29.5312500Z|Program_Runtime_Seconds|57
2017-02-02T19:25:30.6093750Z|Program_Runtime_Seconds|58
2017-02-02T19:25:31.6562500Z|Program_Runtime_Seconds|59
2017-02-02T19:25:32.4531250Z|Program_Runtime_Seconds|0
2017-02-02T19:25:32.4687500Z|Program_Runtime_Seconds|60
2017-02-02T19:25:33.5312500Z|Program_Runtime_Seconds|61
2017-02-02T19:25:34.6406250Z|Program_Runtime_Seconds|62
2017-02-02T19:25:35.5468750Z|Program_Runtime_Seconds|63
2017-02-02T19:25:35.6875000Z|Feed_Rate|0
2017-02-02T19:25:35.8593750Z|Block_Number|18
2017-02-02T19:25:35.8750000Z|Feed_Rate|14.75
2017-02-02T19:25:36.0312500Z|Feed_Rate|173.816666666667
2017-02-02T19:25:36.1875000Z|Feed_Rate|176.1
2017-02-02T19:25:36.3437500Z|Feed_Rate|173.666666666667
2017-02-02T19:25:36.4843750Z|Feed_Rate|90.2333333333333
2017-02-02T19:25:36.6406250Z|Feed_Rate|0.416666666666667
2017-02-02T19:25:36.6562500Z|Program_Runtime_Seconds|64
2017-02-02T19:25:37.6562500Z|Program_Runtime_Seconds|65
2017-02-02T19:25:38.5937500Z|Program_Runtime_Seconds|66
2017-02-02T19:25:39.6406250Z|Program_Runtime_Seconds|67
2017-02-02T19:25:40.6562500Z|Program_Runtime_Seconds|68
2017-02-02T19:25:41.5468750Z|Program_Runtime_Seconds|69
2017-02-02T19:25:42.6250000Z|Program_Runtime_Seconds|70
2017-02-02T19:25:43.5468750Z|Program_Runtime_Seconds|71
2017-02-02T19:25:44.5937500Z|Program_Runtime_Seconds|72
2017-02-02T19:25:45.6718750Z|Program_Runtime_Seconds|73
2017-02-02T19:25:46.5937500Z|Program_Runtime_Seconds|74
2017-02-02T19:25:47.6718750Z|Program_Runtime_Seconds|75
2017-02-02T19:25:48.5781250Z|Program_Runtime_Seconds|76
2017-02-02T19:25:49.6093750Z|Program_Runtime_Seconds|77
2017-02-02T19:25:50.6406250Z|Program_Runtime_Seconds|78
2017-02-02T19:25:51.7031250Z|Program_Runtime_Seconds|79
